epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,19,,,0.3367044925689697
0,19,0.41540470719337463,,
1,39,,,0.2630820572376251
1,39,0.31149569153785706,,
2,49,,0.26959335803985596,
2,59,,,0.20520415902137756
2,59,0.24087169766426086,,
3,79,,,0.16953733563423157
3,79,0.19341696798801422,,
4,99,,0.15063118934631348,
4,99,,,0.14737533032894135
4,99,0.16173478960990906,,
5,119,,,0.13076482713222504
5,119,0.13949625194072723,,
6,139,,,0.11872807145118713
6,139,0.12354885041713715,,
7,149,,0.1133485659956932,
7,159,,,0.10945763438940048
7,159,0.11193235218524933,,
8,179,,,0.10487658530473709
8,179,0.10388612747192383,,
9,199,,0.09563988447189331,
9,199,,,0.09894061833620071
9,199,0.09822438657283783,,
10,219,,,0.09562906622886658
10,219,0.09350369870662689,,
11,239,,,0.09236828982830048
11,239,0.08899103850126266,,
12,249,,0.10210859775543213,
12,259,,,0.09002916514873505
12,259,0.08750797808170319,,
13,279,,,0.08910366892814636
13,279,0.08352801203727722,,
14,299,,0.0823526680469513,
14,299,,,0.08548766374588013
14,299,0.0819002240896225,,
15,319,,,0.08584117889404297
15,319,0.07948803156614304,,
16,339,,,0.08411005884408951
16,339,0.0778384879231453,,
17,349,,0.08178479969501495,
17,359,,,0.08368220925331116
17,359,0.07672809064388275,,
18,379,,,0.08198005706071854
18,379,0.07544383406639099,,
19,399,,0.06805478036403656,
19,399,,,0.08066799491643906
19,399,0.07438943535089493,,
20,419,,,0.08261099457740784
20,419,0.07316882908344269,,
21,439,,,0.0807357206940651
21,439,0.07132463157176971,,
22,449,,0.06736105680465698,
22,459,,,0.07905865460634232
22,459,0.07019999623298645,,
23,479,,,0.0772734209895134
23,479,0.0689658522605896,,
24,499,,0.0602247379720211,
24,499,,,0.07620387524366379
24,499,0.0696968287229538,,
25,519,,,0.07599586248397827
25,519,0.06813658773899078,,
26,539,,,0.07340928167104721
26,539,0.06715355813503265,,
27,549,,0.06679939478635788,
27,559,,,0.07532241940498352
27,559,0.06509239971637726,,
28,579,,,0.07535370439291
28,579,0.06462739408016205,,
29,599,,0.05789416283369064,
29,599,,,0.07201271504163742
29,599,0.06259720027446747,,
30,619,,,0.0722227618098259
30,619,0.06255373358726501,,
31,639,,,0.0746857300400734
31,639,0.061992205679416656,,
32,649,,0.07222659140825272,
32,659,,,0.07209758460521698
32,659,0.06068560481071472,,
33,679,,,0.07072917371988297
33,679,0.06034894660115242,,
34,699,,0.06080137938261032,
34,699,,,0.07313820719718933
34,699,0.05929407477378845,,
35,719,,,0.07183292508125305
35,719,0.05962269753217697,,
36,739,,,0.06925718486309052
36,739,0.05876009911298752,,
37,749,,0.05335482209920883,
37,759,,,0.06895548850297928
37,759,0.05882633477449417,,
38,779,,,0.0703229159116745
38,779,0.057000286877155304,,
39,799,,0.04963415861129761,
39,799,,,0.06797514110803604
39,799,0.0563221201300621,,
40,819,,,0.0675806775689125
40,819,0.05565231293439865,,
41,839,,,0.06852789223194122
41,839,0.055659402161836624,,
42,849,,0.06050126999616623,
42,859,,,0.06744366884231567
42,859,0.05495820567011833,,
43,879,,,0.06630205363035202
43,879,0.055912286043167114,,
44,899,,0.05457192659378052,
44,899,,,0.06557361781597137
44,899,0.055046726018190384,,
45,919,,,0.06740839034318924
45,919,0.05381307005882263,,
46,939,,,0.06936667859554291
46,939,0.05274130776524544,,
47,949,,0.04012778401374817,
47,959,,,0.07054493576288223
47,959,0.052851445972919464,,
48,979,,,0.06458554416894913
48,979,0.05125226452946663,,
49,999,,0.03876480460166931,
49,999,,,0.06369614601135254
49,999,0.05036377161741257,,
50,1019,,,0.06501438468694687
50,1019,0.05085914209485054,,
51,1039,,,0.0637897476553917
51,1039,0.05159474164247513,,
52,1049,,0.036371149122714996,
52,1059,,,0.06587296724319458
52,1059,0.04897739738225937,,
53,1079,,,0.06346158683300018
53,1079,0.0497068427503109,,
54,1099,,0.04881485551595688,
54,1099,,,0.06343143433332443
54,1099,0.04995855689048767,,
55,1119,,,0.062000539153814316
55,1119,0.04925748333334923,,
56,1139,,,0.061304859817028046
56,1139,0.04976736754179001,,
57,1149,,0.05220172926783562,
57,1159,,,0.06379766017198563
57,1159,0.04981880262494087,,
58,1179,,,0.06572847813367844
58,1179,0.050304628908634186,,
59,1199,,0.059295654296875,
59,1199,,,0.0620381236076355
59,1199,0.048590101301670074,,
60,1219,,,0.06288035213947296
60,1219,0.04692789912223816,,
61,1239,,,0.06233175843954086
61,1239,0.046584922820329666,,
