epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,19,,,0.40603071451187134
0,19,0.5001562833786011,,
1,39,,,0.3483930826187134
1,39,0.36961936950683594,,
2,49,,0.35076117515563965,
2,59,,,0.31660306453704834
2,59,0.3261798918247223,,
3,79,,,0.28611359000205994
3,79,0.29698097705841064,,
4,99,,0.2679556608200073,
4,99,,,0.26018863916397095
4,99,0.26939839124679565,,
5,119,,,0.2370855212211609
5,119,0.24570663273334503,,
6,139,,,0.21776585280895233
6,139,0.2245715856552124,,
7,149,,0.1807883381843567,
7,159,,,0.20139408111572266
7,159,0.20716972649097443,,
8,179,,,0.18699505925178528
8,179,0.19114090502262115,,
9,199,,0.17169883847236633,
9,199,,,0.17476467788219452
9,199,0.1785763055086136,,
10,219,,,0.16416585445404053
10,219,0.1676216721534729,,
11,239,,,0.1550164520740509
11,239,0.1574935019016266,,
12,249,,0.15764126181602478,
12,259,,,0.14698375761508942
12,259,0.149302139878273,,
13,279,,,0.14013446867465973
13,279,0.14102979004383087,,
